Instance1:Class=Iris-setosa,sepallength=5.1,sepalwidth=3.5,petallength=1.4,petalwidth=0.2
Instance2:Class=Iris-setosa,sepallength=4.9,sepalwidth=3.0,petallength=1.4,petalwidth=0.2
Instance3:Class=Iris-setosa,sepallength=4.7,sepalwidth=3.2,petallength=1.3,petalwidth=0.2
Instance4:Class=Iris-setosa,sepallength=4.6,sepalwidth=3.1,petallength=1.5,petalwidth=0.2
Instance5:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.6,petallength=1.4,petalwidth=0.2
Instance6:Class=Iris-setosa,sepallength=5.4,sepalwidth=3.9,petallength=1.7,petalwidth=0.4
Instance7:Class=Iris-setosa,sepallength=4.6,sepalwidth=3.4,petallength=1.4,petalwidth=0.3
Instance8:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.4,petallength=1.5,petalwidth=0.2
Instance9:Class=Iris-setosa,sepallength=4.4,sepalwidth=2.9,petallength=1.4,petalwidth=0.2
Instance10:Class=Iris-setosa,sepallength=4.9,sepalwidth=3.1,petallength=1.5,petalwidth=0.1
Instance11:Class=Iris-setosa,sepallength=5.4,sepalwidth=3.7,petallength=1.5,petalwidth=0.2
Instance12:Class=Iris-setosa,sepallength=4.8,sepalwidth=3.4,petallength=1.6,petalwidth=0.2
Instance13:Class=Iris-setosa,sepallength=4.8,sepalwidth=3.0,petallength=1.4,petalwidth=0.1
Instance14:Class=Iris-setosa,sepallength=4.3,sepalwidth=3.0,petallength=1.1,petalwidth=0.1
Instance15:Class=Iris-setosa,sepallength=5.8,sepalwidth=4.0,petallength=1.2,petalwidth=0.2
Instance16:Class=Iris-setosa,sepallength=5.7,sepalwidth=4.4,petallength=1.5,petalwidth=0.4
Instance17:Class=Iris-setosa,sepallength=5.4,sepalwidth=3.9,petallength=1.3,petalwidth=0.4
Instance18:Class=Iris-setosa,sepallength=5.1,sepalwidth=3.5,petallength=1.4,petalwidth=0.3
Instance19:Class=Iris-setosa,sepallength=5.7,sepalwidth=3.8,petallength=1.7,petalwidth=0.3
Instance20:Class=Iris-setosa,sepallength=5.1,sepalwidth=3.8,petallength=1.5,petalwidth=0.3
Instance21:Class=Iris-setosa,sepallength=5.4,sepalwidth=3.4,petallength=1.7,petalwidth=0.2
Instance22:Class=Iris-setosa,sepallength=5.1,sepalwidth=3.7,petallength=1.5,petalwidth=0.4
Instance23:Class=Iris-setosa,sepallength=4.6,sepalwidth=3.6,petallength=1.0,petalwidth=0.2
Instance24:Class=Iris-setosa,sepallength=5.1,sepalwidth=3.3,petallength=1.7,petalwidth=0.5
Instance25:Class=Iris-setosa,sepallength=4.8,sepalwidth=3.4,petallength=1.9,petalwidth=0.2
Instance26:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.0,petallength=1.6,petalwidth=0.2
Instance27:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.4,petallength=1.6,petalwidth=0.4
Instance28:Class=Iris-setosa,sepallength=5.2,sepalwidth=3.5,petallength=1.5,petalwidth=0.2
Instance29:Class=Iris-setosa,sepallength=5.2,sepalwidth=3.4,petallength=1.4,petalwidth=0.2
Instance30:Class=Iris-setosa,sepallength=4.7,sepalwidth=3.2,petallength=1.6,petalwidth=0.2
Instance31:Class=Iris-setosa,sepallength=4.8,sepalwidth=3.1,petallength=1.6,petalwidth=0.2
Instance32:Class=Iris-setosa,sepallength=5.4,sepalwidth=3.4,petallength=1.5,petalwidth=0.4
Instance33:Class=Iris-setosa,sepallength=5.2,sepalwidth=4.1,petallength=1.5,petalwidth=0.1
Instance34:Class=Iris-setosa,sepallength=5.5,sepalwidth=4.2,petallength=1.4,petalwidth=0.2
Instance35:Class=Iris-setosa,sepallength=4.9,sepalwidth=3.1,petallength=1.5,petalwidth=0.1
Instance36:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.2,petallength=1.2,petalwidth=0.2
Instance37:Class=Iris-setosa,sepallength=5.5,sepalwidth=3.5,petallength=1.3,petalwidth=0.2
Instance38:Class=Iris-setosa,sepallength=4.9,sepalwidth=3.1,petallength=1.5,petalwidth=0.1
Instance39:Class=Iris-setosa,sepallength=4.4,sepalwidth=3.0,petallength=1.3,petalwidth=0.2
Instance40:Class=Iris-setosa,sepallength=5.1,sepalwidth=3.4,petallength=1.5,petalwidth=0.2
Instance41:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.5,petallength=1.3,petalwidth=0.3
Instance42:Class=Iris-setosa,sepallength=4.5,sepalwidth=2.3,petallength=1.3,petalwidth=0.3
Instance43:Class=Iris-setosa,sepallength=4.4,sepalwidth=3.2,petallength=1.3,petalwidth=0.2
Instance44:Class=Iris-setosa,sepallength=5.0,sepalwidth=3.5,petallength=1.6,petalwidth=0.6
